Product name,Price,Ratings,No of Ratings,RAM,ROM,Display(cm),cameraQ(MP),Label
POCO M2 Pro ,13999,4.4,94150,4,64,16.94,48,0.908173553452839
Nokia 105 SS 2020,0,0,0,0,0,0,0,-1
Redmi 8A Dual ,7499,4.3,19783,2,32,15.8,13,0.82622396307799
Motorola G9 ,10999,4.2,25648,4,64,16.51,48,0.927864809143802
Motorola One Fusion+ ,17499,4.4,69402,6,128,16.51,64,0.896446598307315
Realme Narzo 20 ,11499,4.3,148215,4,128,16.56,48,0.825567173065881
Realme Narzo 20 ,11499,4.3,148215,4,128,16.56,48,0.96279739049506
OPPO A52 ,14990,4.4,27669,4,128,16.51,12,0.954706012234026
OPPO A52 ,14990,4.4,27669,4,128,16.51,12,0.836019861944111
Samsung Galaxy F41 ,17999,4.3,126573,6,128,16.26,64,0.843588002232549
Tecno Spark Power 2 Air ,8499,4.3,6118,3,32,17.78,13,0.918028307684394
Redmi 9i ,9299,4.3,86457,4,128,16.59,13,0.921176012818818
OPPO Reno2 F ,17990,4.4,40677,6,256,16.51,48,0.861492701973631
POCO M2 Pro ,13999,4.4,94150,4,64,16.94,48,0.931971228222952
POCO X3 ,18499,4.3,39171,6,128,16.94,64,0.84682864023032
Realme Narzo 20 Pro ,14999,4.3,32178,6,64,16.51,48,0.901906898726402
Realme Narzo 20 Pro ,14999,4.3,32178,6,64,16.51,48,0.966351493376298
Realme Narzo 20 Pro ,16999,4.3,20463,8,128,16.51,48,0.879530121995974
Realme C15 ,9999,4.3,30082,3,32,16.56,13,0.95107782623037
Realme C15 ,10999,4.4,77765,4,64,16.56,13,0.802448358525015
Realme C15 ,10999,4.4,77765,4,64,16.56,13,0.822813589871219
Realme C15 ,9999,4.3,30082,3,32,16.56,13,0.871284506740951
Realme 6i ,13999,4.4,55781,6,64,16.51,48,0.840936845889323
Realme 6i ,12999,4.4,53791,4,64,16.51,48,0.94301147635411
Realme 6i ,12999,4.4,53791,4,64,16.51,48,0.93031530685943
POCO M2 Pro ,16999,4.4,155769,6,128,16.94,48,0.919982977275217
OPPO F15 ,15990,4.4,19664,4,128,16.26,48,0.94424704851484
OPPO F15 ,18990,4.4,19019,8,128,16.26,48,0.969259414722348
POCO X3 ,19999,4.3,6714,8,128,16.94,64,0.946471452579895
Nokia TA-1010/105,0,0,0,0,0,0,0,-1
POCO X2 ,18499,4.5,221510,6,128,16.94,64,0.912077910894228
POCO X3 ,18499,4.3,39171,6,128,16.94,64,0.897784483366311
Realme 6 ,17999,4.4,45570,8,128,16.51,64,0.872564862320773
LG G8X ,39990,4.5,36165,6,128,16.26,12,0.826426314044159
Apple iPhone XR ,44900,4.6,54615,0,64,15.49,12,0.919878869523391
Redmi 8A Dual ,7499,4.3,19783,2,32,15.8,13,0.918013785026249
Samsung Galaxy F41 ,16999,4.3,126575,6,64,16.26,64,0.843991086246712
Vivo Y50 ,16490,4.4,8722,8,128,16.59,13,0.829017340206812
Apple iPhone XR ,49900,4.6,54615,0,128,15.49,12,0.95490758227304
Redmi 9i ,9299,4.3,86459,4,128,16.59,13,0.849012593600453
Apple iPhone XR ,49900,4.6,54615,0,128,15.49,12,0.839066815918849
Tecno Spark Power 2 Air ,8499,4.3,6118,3,32,17.78,13,0.645497853277445
OPPO A9 2020 ,15990,4.3,89839,4,128,16.51,48,0.63185421931763
Redmi 9 ,10911,4.2,4462,4,128,16.59,13,0.690597941856978
POCO X2 ,18499,4.5,221510,6,128,16.94,64,0.641190215493329
Realme Narzo 20 Pro ,16999,4.3,20464,8,128,16.51,48,0.636496801429069
Samsung Galaxy F41 ,16999,4.3,126575,6,64,16.26,64,0.792840671181342
Apple iPhone XR ,44900,4.6,54615,0,64,15.49,12,0.815074354121425
POCO X2 ,18499,4.5,221510,6,128,16.94,64,0.715066596163041
Redmi 9 Prime ,11329,4.3,4513,4,128,16.59,13,0.648828398638759
Vivo Y50 ,16490,4.4,8722,8,128,16.59,13,0.811050288622699
Micromax X741,1257,4,27733,0.032,0.032,6.1,0,0.729424863526033
OPPO A5s ,8990,4.3,28455,2,32,15.75,13,0.810997100805827
Micromax X741,1267,4,27733,0.032,0.032,6.1,0,0.671297387126174
Apple iPhone SE ,35900,4.6,72791,0,64,11.94,12,0.687705787490847
Samsung Galaxy M21 ,15790,4.3,2595,4,64,16.26,48,0.782043341104137
Lava A1 Josh,0,0,0,0,0,0,0,-1
Infinix Note 7 ,10999,4.3,7415,4,64,17.65,48,0.837361117941425
Realme 7 Pro ,21999,4.4,14530,8,128,16.26,64,0.830622772380043
Realme 7 Pro ,19999,4.4,42541,6,128,16.26,64,0.824280521844573
