Product name,Price,Ratings,No of Ratings,RAM,ROM,Display(cm),cameraQ(MP),Label
OPPO A53 ,12990,4.3,11178,4,64,16.51,13,0.635270133747447
Realme X3 ,25999,4.4,9644,8,128,16.69,64,0.615179086948207
Honor 9S ,6499,3.9,16403,2,32,13.84,8,0.565979128415244
Kechaoda K115,0,0,0,0,0,0,0,-1
Kechaoda K115,0,0,0,0,0,0,0,-1
Kechaoda K115,0,0,0,0,0,0,0,-1
Samsung Galaxy A50s ,18570,4.3,37450,4,128,16.26,48,0.669409139912001
Lava A9,0,0,0,0,0,0,0,-1
Realme 5 Pro ,15999,4.5,112176,6,64,16,48,0.594283028357999
Lava A9,0,0,0,0,0,0,0,-1
Redmi 9 ,10999,4.2,424,4,128,16.59,13,0.62656799148304
Lava A9,0,0,0,0,0,0,0,-1
Kechaoda K6,0,0,0,0,0,0,0,-1
I kall k6300 NEW,1199,3.4,452,0.064,0.064,7.11,8,0.638495733719332
Lava Z61 Pro ,0,0,0,0,0,0,0,-1
Vivo Z1Pro ,17990,4.5,155522,6,128,16.59,16,0.710171039670713
Itel IT 2163,899,4,2436,0.032,0.032,4.57,10,0.749211533886095
Karbonn K19 Rock,890,3.9,1965,0.032,0.032,4.57,0,0.577915388098967
Apple iPhone 11 Pro ,84900,4.6,4964,0,64,14.73,12,0.702520423457326
Micromax X421,999,4,854,0.032,0.032,4.5,0,0.685131628968362
Samsung Galaxy M01 ,8194,4.2,12268,3,32,14.48,13,0.651653680074564
Redmi Note 8 Pro ,18999,4.4,10945,8,128,16.59,64,0.660505082305514
OPPO F17 ,16990,4.3,1917,6,128,16.36,16,0.581435298471958
Vivo U10 ,10990,4.4,41816,3,32,16.13,13,0.625310471190724
Kechaoda A26,0,0,0,0,0,0,0,-1
Kechaoda A26,0,0,0,0,0,0,0,-1
Vivo Y15 ,12990,4.4,29479,4,64,16.13,13,0.564743853328265
Vivo Y15 ,12990,4.4,29479,4,64,16.13,13,0.682924570501643
Grabo G310,619,3.6,1054,0.064,0.064,4.57,0,0.585798187703995
Lava A7 2020,0,0,0,0,0,0,0,-1
Tecno Camon 16 ,11499,4.2,1880,4,64,17.27,64,0.708055655357575
Panasonic ELUGA I6 ,5001,3.7,7397,2,16,13.84,8,0.604638773110362
Micromax X744,1149,3.9,5668,0.032,0.032,6.1,0,0.604955316122058
Realme 6 Pro ,17999,4.4,54415,6,64,16.76,64,0.746386263081185
I Kall K3312,699,3.5,6172,0.032,0.064,4.57,0,0.597938947157715
Redmi Note 9 ,15999,4.4,1407,6,128,16.59,48,0.743482299545448
Micromax X421,918,4,854,0.032,0.032,4.5,0,0.680855686066129
Samsung Guru FM Plus SM-B110E/D,0,0,0,0,0,0,0,-1
Lava A1200,0,0,0,0,0,0,0,-1
OPPO A5 2020 ,13990,4.4,6545,4,64,16.51,12,0.736975901350325
Micromax X809,1189,3.9,1399,0.032,0.032,6.1,8,0.589843401145128
Blackzone B-312 Gold,669,3.6,185,0.01,0.01,4.57,0,0.626878129371076
Vivo Y91i ,7990,4.3,35183,2,32,15.8,13,0.626148895502236
Realme 6 Pro ,19999,4.4,27063,8,128,16.76,64,0.721917719986486
iQOO 3 ,34990,4.5,10647,8,256,16.36,48,0.731453513457444
Samsung Galaxy A21s ,14999,4.2,12000,4,64,16.51,48,0.559747827896494
Realme X3 SuperZoom ,27999,4.3,3427,8,128,16.69,64,0.745162360674761
Kechaoda K28,0,0,0,0,0,0,0,-1
Kechaoda K28,0,0,0,0,0,0,0,-1
Karbonn K19 Rock,890,3.9,1965,0.032,0.032,4.57,0,0.67838062205795
OPPO A53 ,15490,4.2,2192,6,128,16.51,13,0.736112139224555
Redmi Note 9 ,15795,4.3,9390,4,128,16.59,48,0.723848379864364
Redmi Note 9 ,12349,4.3,9390,4,64,16.59,48,0.626704550231404
OPPO A53 ,15490,4.2,2192,6,128,16.51,13,0.691083846858271
OPPO A53 ,12990,4.3,11178,4,64,16.51,13,0.662172909595533
ITEL ACE,774,4.1,94,0.032,0.032,4.57,10,0.650545275852196
Samsung Galaxy Note 10 Plus ,54999,4.6,3252,12,256,17.27,12,0.591876752996514
Apple iPhone 12 ,84900,4.8,290,0,128,15.49,12,0.594960278005301
Energizer Hardcase E100,1249,4,53,0.032,0.032,6.1,0,0.578162939048119
Lava Gem Wave,0,0,0,0,0,0,0,-1
Karbonn K9 Mini,852,3.8,1010,0.032,0.032,4.5,0,0.603332256629569
Samsung Galaxy M01s  ,9989,4.2,218,3,32,15.75,13,0.554193777747679
Good One Magic,1399,4,1344,0.032,0.032,4.32,2,0.661289765734243
Redmi 9 Prime ,11488,4.3,4514,4,64,16.59,13,0.598446306792706
Nokia 105,0,0,0,0,0,0,0,-1
Kechaoda K-55 Plus,0,0,0,0,0,0,0,-1
Karbonn KX26i,999,4.3,38,0.032,0.032,6.1,14,0.665894245815443
Samsung Galaxy M01 ,8360,4.2,12268,3,32,14.48,13,0.711400890486024
Micromax X1i-2017,1050,3.8,1320,0,32,6.1,0,0.670328251103248
Samsung Galaxy M11 ,10059,4.2,8271,3,32,16.26,13,0.660821122174641
Tork T13 Banana,799,4,317,0.032,0.032,6.1,0,0.606427118244237
Kechaoda K33,0,0,0,0,0,0,0,-1
Apple iPhone 12 ,84900,4.8,290,0,128,15.49,12,0.706958064144974
Kechaoda K33,0,0,0,0,0,0,0,-1
Apple iPhone 12 ,79900,4.8,290,0,64,15.49,12,0.652701852144032
Micromax X756,1390,3.9,2335,0.032,0.032,6.1,0,0.702850468042898
Samsung Galaxy A21s ,14999,4.2,12000,4,64,16.51,48,0.574540076962387
BlackZone PORSCHE 911,1260,3.5,27,0.064,0.064,3.66,0,0.708448681584412
Gfive U873,736,3.7,1548,0.032,0.032,4.57,0,0.65844721985262
Lava H1 Hero 600,0,0,0,0,0,0,0,-1
Micromax X749,1284,4.1,1687,0.032,0.032,6.1,0,0.745865836956567
Realme X3 SuperZoom ,29999,4.3,3427,8,256,16.69,64,0.685156541958752
Samsung Galaxy A10s ,10249,4.3,1991,3,32,15.75,13,0.671868150397627
Realme X3 SuperZoom ,32999,4.2,1395,12,256,16.69,64,0.658161360309689
Karbonn K9 POWER,999,3.7,7,0.024,0.032,4.5,0,0.596791202823794
Realme X3 SuperZoom ,27999,4.3,3427,8,128,16.69,64,0.648537663252469
Samsung Galaxy A31 ,19999,4.3,6247,6,128,16.26,48,0.736678509606916
Realme X3 SuperZoom ,29999,4.3,3427,8,256,16.69,64,0.659759431527173
Karbonn KX26,1130,4,1003,0.032,0.032,6.1,0,0.594297567722893
Samsung Galaxy Note 10 Plus ,54999,4.6,3253,12,256,17.27,12,0.640039924844094
Micromax X388,1040,3.9,1806,0.032,0.032,4.5,0,0.595843798599037
Samsung Galaxy A21s ,14999,4.2,12000,4,64,16.51,48,0.613910910752378
Blackzone B312,639,3.5,104,0.01,0.01,4.57,0,0.67894761983907
Samsung Galaxy A71 ,29499,4.4,4209,8,128,17.02,64,0.592969379246651
OPPO F17 ,16990,4.3,1917,6,128,16.36,16,0.600428437169791
Redmi Note 9 Pro ,14477,4.3,6554,4,64,16.94,48,0.555618530239199
OPPO A33 ,10990,4.4,67,3,32,16.51,13,0.605523456567431
Tecno Spark 5 Pro ,10169,4.3,137,4,64,16.64,16,0.57542950901402
Micromax X421,919,4,854,0.032,0.032,4.5,0,0.698065772433784
BlackZone S16,949,4.2,9,0.064,0.064,6.1,0,0.677912729855644
BlackZone S16,949,4.2,9,0.064,0.064,6.1,0,0.558613264389501
Energizer Energy E20,1349,4.2,84,0.032,0.032,6.1,0,0.682457346050111
Lava Z61 Pro ,0,0,0,0,0,0,0,-1
Samsung Metro 313 Dual Sim,2130,4.2,11479,0.016,0.002,5.08,0,0.598294307083113
Tork T13 Banana,849,4,317,0.032,0.032,6.1,0,0.710774568275807
Honor 9X ,15999,4.3,18151,4,128,16.74,48,0.668298761084328
LG Velvet Dual Screen ,49990,4.4,12,6,128,17.27,48,0.70682029003589
LG Velvet Dual Screen ,49990,4.4,12,6,128,17.27,48,0.655664674286966
Realme X3 SuperZoom ,29999,4.3,3427,8,256,16.69,64,0.727986136286716
Realme X3 SuperZoom ,27999,4.3,3427,8,128,16.69,64,0.589110515581077
Lava H1 Hero 600,0,0,0,0,0,0,0,-1
Karbonn KX26,1130,4,1003,0.032,0.032,6.1,0,0.584947259406903
Kechaoda K-55 Plus,0,0,0,0,0,0,0,-1
Itel U10,925,4.2,13,0.032,0.032,4.57,0,0.703487798157543
Micromax X421,919,4,854,0.032,0.032,4.5,0,0.655903803845383
Samsung Galaxy A21s ,14999,4.2,12000,4,64,16.51,48,0.602552321727334
Karbonn K88 Dual Sim - Black & Red,1240,3.5,139,0.01,0.001,6.1,1,0.649655535416982
Blackzone B312,639,3.5,104,0.01,0.01,4.57,0,0.571096179437427
Samsung Galaxy A71 ,29499,4.4,4209,8,128,17.02,64,0.703149759696964
Karbonn KX26i,999,4.3,38,0.032,0.032,6.1,14,0.563998860935712
Apple iPhone 12 ,79900,4.8,290,0,64,15.49,12,0.680169116793576
Redmi Note 9 Pro ,14477,4.3,6554,4,64,16.94,48,0.73902512323918
OPPO A33 ,10990,4.4,67,3,32,16.51,13,0.552282311005599
Tecno Spark 5 Pro ,10169,4.3,137,4,64,16.64,16,0.604639424443828
Samsung Galaxy A31 ,19999,4.3,6247,6,128,16.26,48,0.673423252506985
Tecno SPARK 6 AIR ,7960,4.3,890,2,32,17.78,13,0.646365644087751
OPPO F17 ,16990,4.3,1917,6,128,16.36,16,0.630821814807508
BlackZone S16,949,4.2,9,0.064,0.064,6.1,0,0.64566408944531
BlackZone S16,949,4.2,9,0.064,0.064,6.1,0,0.58798845785031
Micromax X388,1040,3.9,1806,0.032,0.032,4.5,0,0.59365595353481
Itel A25 Pro ,4999,3.7,3,2,32,12.7,5,0.595829793609287
Samsung Guru FM Plus SM-B110E/D,0,0,0,0,0,0,0,-1
Samsung Galaxy A51 ,22999,4.3,7200,6,128,16.51,48,0.597927449244956
Kechaoda A26,0,0,0,0,0,0,0,-1
Tork T13 Banana,849,4,317,0.032,0.032,6.1,0,0.684469283863421
LG Velvet Dual Screen ,49990,4.4,12,6,128,17.27,48,0.625707806153505
Vivo S1 ,18990,4.4,2474,6,64,16.21,16,0.694829048462782
LG Velvet Dual Screen ,49990,4.4,12,6,128,17.27,48,0.676824522507569
Lava Z61 Pro ,0,0,0,0,0,0,0,-1
Honor 9X ,15999,4.3,18151,4,128,16.74,48,0.671436303661406
Samsung M31 Prime ,17585,4.2,60,6,128,16.26,64,0.568858132496275
Kechaoda K66 Plus,0,0,0,0,0,0,0,-1
Kechaoda K66 Plus,0,0,0,0,0,0,0,-1
Kechaoda K10,0,0,0,0,0,0,0,-1
Kechaoda K10,0,0,0,0,0,0,0,-1
Samsung Guru FM Plus,0,0,0,0,0,0,0,-1
Itel A25 Pro ,4999,3.7,3,2,32,12.7,5,0.607715115633286
Energizer Energy E20,1349,4.2,84,0.032,0.032,6.1,0,0.737214294948812
Forme Duos 1900,999,4,76,0.032,0.032,7.11,0,0.566288486244786
Karbonn KX4i,799,3.6,14,0.032,0.032,4.57,80,0.568500319882007
Tork T13 Banana,849,4,317,0.032,0.032,6.1,0,0.650228109641699
Samsung Galaxy A31 ,19999,4.3,6247,6,128,16.26,48,0.606400610370704
Redmi Note 9 Pro ,14588,4.3,6554,4,64,16.94,48,0.635478504201064
Redmi 8A Dual ,8985,4.2,9524,3,32,15.8,13,0.638546475670454
Itel A25 Pro ,4999,3.7,3,2,32,12.7,5,0.550357546859875
Apple iPhone 12 ,84900,4.8,290,0,128,15.49,12,0.740297423321027
Kechaoda K66 Plus,0,0,0,0,0,0,0,-1
Apple iPhone 12 ,84900,4.8,290,0,128,15.49,12,0.584742677710228
MU M 230,1399,0,0,0.064,0.064,7.11,0,0.574092617132093
MU M 230,1399,0,0,0.064,0.064,7.11,0,0.720955653532445
Vivo Y15 ,12990,4.4,29479,4,64,16.13,13,0.734500293960897
Apple iPhone SE ,50900,4.6,72793,0,256,11.94,12,0.726113261228349
Itel A25 Pro ,4999,3.7,3,2,32,12.7,5,0.733848956923729
Apple iPhone 11 Pro ,121300,4.6,4964,0,256,14.73,12,0.55572841000528
Samsung Galaxy A71 ,29499,4.4,4209,8,128,17.02,64,0.609922732122948
KXD M2+,799,0,0,0.032,0.032,4.5,1,0.642063298789249
Samsung Galaxy A51 ,22999,4.3,7200,6,128,16.51,48,0.596738618660474
Karbonn KX1Indian,825,0,0,0.032,0.032,4.57,0,0.660884522159167
Samsung Galaxy A31 ,19999,4.3,6247,6,128,16.26,48,0.743170005159121
Vivo Z1x ,18990,4.4,26083,8,128,16.21,48,0.669744120850943
Itel IT5608,1145,4.1,7,0.064,0.032,4.57,0,0.696870726821765
Itel It 2163,919,4,2436,0.032,0.032,4.57,10,0.715469145670515
Kechaoda A26,0,0,0,0,0,0,0,-1
Forme Duos 1900,1049,4,76,0.032,0.032,7.11,0,0.663641049098077
Vivo Y15 ,12990,4.4,29479,4,64,16.13,13,0.624792944576982
Lava Z61 Pro ,0,0,0,0,0,0,0,-1
I Kall K43,599,3.6,1456,0.032,0.064,4.57,80,0.635407569676144
OPPO A5 2020 ,14399,4.4,6545,4,64,16.51,12,0.591670600778348
Samsung Galaxy Note 10 Plus ,54999,4.6,3253,12,256,17.27,12,0.622963622510718
OPPO F17 ,16990,4.3,1917,6,128,16.36,16,0.61248028015938
Kechaoda K116 Plus,0,0,0,0,0,0,0,-1
Kechaoda K60,0,0,0,0,0,0,0,-1
Samsung M01 core ,5027,4,2608,1,16,13.46,8,0.622525831592989
Vivo Y91i ,8299,4.3,35183,2,16,15.8,13,0.583375359489826
Vivo Y91i ,8299,4.3,35183,2,16,15.8,13,0.614420527834028
Micromax X419,999,4,123,0.032,0.032,4.5,0,0.679233604887905
Vivo Y19 ,15890,4.4,7025,4,128,16.59,16,0.654562428242528
Kechaoda K-55 Plus,0,0,0,0,0,0,0,-1
Apple iPhone 11 Pro ,84900,4.6,4964,0,64,14.73,12,0.694841968306715
Karbonn KX4,825,3.9,37,0.032,0.032,4.57,0,0.605987038778444
Karbonn KX4,849,3.9,37,0.032,0.032,4.57,0,0.749430781149741
Nokia 110 DS 2020,0,0,0,0,0,0,0,-1
Itel A25 Pro ,4999,3.7,3,2,32,12.7,8,0.68385805403508
Redmi Note 9 ,17198,4.4,1407,6,128,16.59,48,0.608753570662002
Samsung Galaxy M01 ,8499,4.2,12268,3,32,14.48,13,0.595218234673551
Karbonn K7 Power,1099,3.7,1399,0.032,0.032,4.57,0,0.678117277346784
Karbonn KX26i,999,4.3,38,0.032,0.032,6.1,14,0.618636790062791
Apple iPhone SE ,50900,4.6,72793,0,256,11.94,12,0.608888545558887
Vivo Z1x ,16990,4.4,160815,6,64,16.21,48,0.734606345782489
Kechaoda K33,0,0,0,0,0,0,0,-1
I Kall K800 ,3949,3.4,227,2,16,13.97,5,0.556253772605664
Kechaoda K10,0,0,0,0,0,0,0,-1
Kechaoda K10,0,0,0,0,0,0,0,-1
Kechaoda K66 Plus,0,0,0,0,0,0,0,-1
Lava A1200,0,0,0,0,0,0,0,-1
Kechaoda K9,0,0,0,0,0,0,0,-1
Micromax X748,1418,4.1,1073,0.032,0.032,6.1,0,0.558132878400621
Samsung Galaxy M21 ,16399,4.3,806,6,128,16.26,48,0.544751125308052
Karbonn K-Phone 1,1490,3.9,632,0.256,0.16,6.1,1,0.449464125330755
Micromax X512,965,3.9,4853,0.056,0.024,4.5,0,0.475822582052499
Redmi Note 9 ,14299,4.4,211,4,128,16.59,48,0.461321831427406
Redmi Note 9 ,12999,4.4,211,4,64,16.59,48,0.639840369699615
Kechaoda A27,0,0,0,0,0,0,0,-1
Kechaoda A27,0,0,0,0,0,0,0,-1
Kechaoda A27,0,0,0,0,0,0,0,-1
Kechaoda A26,0,0,0,0,0,0,0,-1
Itel IT 2163,868,4,2436,0.032,0.032,4.57,0,0.431281254378645
Honor 9X ,16999,4.3,2181,6,128,16.74,48,0.611532105925242
Honor 9X ,15999,4.3,18151,4,128,16.74,48,0.417983490584133
Kechaoda K116 Plus,0,0,0,0,0,0,0,-1
Samsung Galaxy A10s ,9269,4.4,2382,2,32,15.75,13,0.602972708943096
Karbonn KX19,880,4.1,35,0.032,0.032,4.57,0,0.478846805455649
Kechaoda K116 Plus,0,0,0,0,0,0,0,-1
Kechaoda K33,0,0,0,0,0,0,0,-1
I Kall K50,899,3.7,3008,0.032,0.064,7.11,0,0.499148369989239
Kechaoda K115,0,0,0,0,0,0,0,-1
Micromax X380,1098,3.9,9611,0.032,0.032,4.5,0,0.465376345247738
Samsung Galaxy A51 ,24499,4.4,2046,8,128,16.51,48,0.489767642641902
Kechaoda K116 Plus,0,0,0,0,0,0,0,-1
Kechaoda A27,0,0,0,0,0,0,0,-1
Samsung Galaxy A51 ,22999,4.3,7200,6,128,16.51,48,0.444268563270425
Redmi Note 6 Pro ,14798,4.5,125416,6,64,15.9,12,0.474206162743779
I Kall K50,899,3.7,3008,0.032,0.064,7.11,0,0.402181982741839
Samsung Galaxy A51 ,24499,4.4,2046,8,128,16.51,48,0.569975031523886
Kechaoda K33,0,0,0,0,0,0,0,-1
Voto V2 ,3690,3.5,4735,2,16,12.7,13,0.565912380050369
Realme X ,20999,4.5,42641,8,128,16.59,48,0.649828836388521
Vivo S1 ,16990,4.5,11123,4,128,16.21,16,0.600752633089973
MBO M312,659,3.6,91,0.032,0.032,4.57,1,0.447600271319081
Lava A1200,0,0,0,0,0,0,0,-1
Redmi K20 Pro ,26999,4.5,79477,6,128,16.23,48,0.425182620942867
Samsung Galaxy A51 ,24499,4.4,2046,8,128,16.51,48,0.550917469802135
Micromax X1i Power,999,3.9,12464,0.032,0.032,6.1,0,0.495098110015587
iQOO 3 ,31990,4.5,10647,8,128,16.36,48,0.569919769051099
BlackZone TURBO-351,719,0,0,0.064,0.064,4.57,0,0.621831148170718
iQOO 3 ,31990,4.5,10647,8,128,16.36,48,0.642314747807405
Apple iPhone 11 Pro ,84900,4.6,4964,0,64,14.73,12,0.507727070719519
Kechaoda K-9,0,0,0,0,0,0,0,-1
MarQ by Flipkart M24 Armor,999,3.7,770,0.032,0.032,6.1,12,0.623648961888185
Samsung Guru 1200,0,0,0,0,0,0,0,-1
Redmi 9 ,10984,4.2,424,4,128,16.59,13,0.620376354907025
Samsung Galaxy S20 FE ,49999,4.3,59,8,128,16.51,12,0.525352047402037
Vivo Y19 ,14990,4.4,7025,4,128,16.59,16,0.622538190645457
I Kall K50,799,3.7,3008,0.032,0.064,7.11,0,0.420097433119888
Itel Power 400,1349,4.1,1716,0.032,0.032,6.1,0,0.627804753464728
Gionee F8 Neo ,5499,0,0,2,32,13.84,8,0.626734641197249
Samsung Galaxy S20 FE ,49999,4.3,59,8,128,16.51,12,0.512457011167782
Jmax M43 Combo of two,1399,3.8,69,0.032,0.032,4.57,1,0.627322700069689
Micromax X381,875,4,418,0.032,0.032,4.5,0,0.604478083550041
Kechaoda A32,0,0,0,0,0,0,0,-1
Gfive A1 Combo of Two,1399,3.5,194,0.032,0.032,4.57,1,0.435854278167853
Vivo V19 ,27990,4.4,10692,8,256,16.36,48,0.580319038244386
ITEL it6330,1699,3.6,43,0.064,0.064,7.11,1,0.464036391688879
Samsung Galaxy M01s ,9495,4.4,171,3,32,15.75,13,0.421319482404052
Samsung Galaxy A21s ,16499,4.2,4876,6,64,16.51,48,0.574717544593412
Karbonn K19 Rock,890,3.9,1965,0.032,0.032,4.57,0,0.552225056227473
Kechaoda K116 Plus,0,0,0,0,0,0,0,-1
Apple iPhone 12 Pro ,129900,4.6,147,0,256,15.49,12,0.538905329619794
Samsung Galaxy J2 Core ,6299,4.2,10292,1,16,12.7,8,0.63066330871937
Samsung Guru 1200,0,0,0,0,0,0,0,-1
Samsung M31s ,23999,5,5,8,128,16.51,64,0.535240341902798
Nokia 125,0,0,0,0,0,0,0,-1
Kechaoda K28,0,0,0,0,0,0,0,-1
Lava H1 Hero 600,0,0,0,0,0,0,0,-1
Apple iPhone XR ,44900,4.6,54621,0,64,15.49,12,0.431178288573823
Gfive U873 Combo of Two,1399,3.7,257,0.032,0.032,4.57,1,0.458287134595953
TECNO Spark 6 Air ,8898,4.5,38,3,32,17.78,13,0.441270424611183
Kechaoda K60,0,0,0,0,0,0,0,-1
Kechaoda K60,0,0,0,0,0,0,0,-1
Lava H1 Hero 600,0,0,0,0,0,0,0,-1
Kechaoda K28,0,0,0,0,0,0,0,-1
Gfive A1 Combo of Two,1399,3.5,194,0.032,0.032,4.57,1,0.413873003683086
Apple iPhone XR ,44900,4.6,54621,0,64,15.49,12,0.600162159610724
Kechaoda A32,0,0,0,0,0,0,0,-1
Redmi Note 9 Pro Max ,17899,4.4,2846,6,64,16.94,64,0.433122677137882
Nokia 125,0,0,0,0,0,0,0,-1
KXD M3+,799,0,0,0.032,0.032,4.5,1,0.514479693606794
Samsung Galaxy J2 Core ,6299,4.2,10292,1,16,12.7,8,0.525047325507856
Gfive U331,699,3.3,124,0.032,0.064,4.57,0,0.521873108127405
Yu Yureka Black ,6699,4,16357,4,32,12.7,13,0.528385000833205
ITEL it6330,1699,3.6,43,0.064,0.064,7.11,1,0.546659054932072
Samsung Galaxy A51 ,22999,4.3,7200,6,128,16.51,48,0.484156390867756
BlackZone TURBO-351,719,0,0,0.064,0.064,4.57,0,0.430440277735978
I Kall K44 NEW,669,3.7,1056,0.032,0.064,4.57,0,0.601838427350625
TECNO Spark Air 6 ,8099,3.9,30,2,32,17.78,13,0.484390576618881
Lava 34 Plus,0,0,0,0,0,0,0,-1
Vivo Z1x ,18990,4.4,26083,8,128,16.21,48,0.429785700345393
Samsung Galaxy Note10 Lite ,39999,4.4,1290,8,128,17.02,12,0.406881968736276
I Kall K43 Combo of 2 Mobiles,999,4,4,0.032,0.064,4.57,80,0.547592546230523
Lava A7,0,0,0,0,0,0,0,-1
Samsung Galaxy A21s ,17499,4.2,4876,6,128,16.51,48,0.496215337045495
Redmi Y2 ,9280,4.5,118944,3,32,15.21,12,0.461180446775419
Redmi K20 Pro ,26999,4.5,79477,6,128,16.23,48,0.570758360230698
Apple iPhone 11 Pro ,140300,4.6,4964,0,512,14.73,12,0.49449647659498
Kechaoda K2,0,0,0,0,0,0,0,-1
Kechaoda K9,0,0,0,0,0,0,0,-1
Salora Kiano,1319,4,161,0.032,0.032,6.1,1,0.49489287059535
Realme X ,17999,4.5,105251,4,128,16.59,48,0.605967894473928
Vivo V19 ,24990,4.4,10692,8,128,16.36,48,0.415638553817656
Vivo V17 ,24990,4.5,8085,8,128,16.36,48,0.433585795542165
OPPO Reno2 Z ,27490,4.5,4833,8,256,16.51,48,0.612572541588072
Samsung Galaxy M31s ,22700,4.3,259,6,128,16.51,64,0.630107754174199
ITEL 2171,998,3.7,23,0.032,0.032,4.57,0,0.586041586017825
KXD M1,699,3.9,58,0.032,0.032,4.5,1,0.550056138334483
KXD M1,699,3.9,58,0.032,0.032,4.5,1,0.518425801458241
Jmax M43 Combo of two,1399,3.8,69,0.032,0.032,4.57,1,0.491377275269515
Redmi 8A Dual ,8498,4.2,9524,3,32,15.8,13,0.582180826662462
I Kall K44 new mobile,669,3.7,748,0.032,0.032,4.57,0,0.536709866175144
BlackZone NEO S10,949,0,0,0.032,0.032,6.1,0,0.461122652788601
KXD M5,699,3.2,27,0.032,0.032,4.5,1,0.477668976921757
Micromax X748,1399,4.1,1073,0.032,0.032,6.1,0,0.507391545990866
Karbonn K2 Boom Box,895,3.9,6736,0.032,0.032,4.57,0,0.526694364703807
Samsung Galaxy A10s ,9449,4.4,2382,2,32,15.75,13,0.635195807012789
Redmi Y2 ,9198,4.5,118944,3,32,15.21,12,0.522000798194852
Samsung Galaxy A51 ,24499,4.4,2046,8,128,16.51,48,0.371336060483429
Easyfone Udaan,0,0,0,0,0,0,0,-1
Itel VISION 1 ,6419,3.4,16,2,32,15.46,8,0.375259421247097
Redmi Note 8 Pro ,16999,4.4,77287,6,64,16.59,64,0.169235119398023
Kechaoda K13,0,0,0,0,0,0,0,-1
Itel it5260,1447,4.1,240,0.008,0.008,6.1,0,0.310606175068076
KXD M8,699,3.9,37,0.032,0.032,4.5,1,0.117727639655613
Kechaoda K33,0,0,0,0,0,0,0,-1
Redmi Note 9 Pro Max ,20990,4.4,2846,6,128,16.94,64,0.399717813445086
OPPO Reno4 Pro ,34990,4.4,1481,8,128,16.51,48,0.212106932471786
OPPO Reno2 ,38990,4.5,1384,8,256,16.51,48,0.186473783138595
Vivo V19 ,24990,4.4,10692,8,128,16.36,48,0.035582751475679
Kechaoda K9,0,0,0,0,0,0,0,-1
Gfive A2 Combo of Two,1399,3.7,191,0.032,0.032,4.57,1,0.217737423859577
Blackbear B5 Bucket,899,3.6,761,0.064,0.064,4.57,2,0.344261541170219
Apple iPhone 11 Pro ,140300,4.6,4964,0,512,14.73,12,0.059617632648156
MTR Ferrari,1249,4.1,2971,0.064,0.064,4.5,0,0.436274598903007
MTR Ferrari,1249,4.1,2971,0.064,0.064,4.5,0,0.111255736476699
MTR Ferrari,1199,4.1,2971,0.064,0.064,4.5,0,0.374754673633002
Karbonn KX23,1099,3.9,1104,0.032,0.032,6.1,0,0.19470031292938
Karbonn Kx23,1095,3.7,162,0.02,0.032,6.1,0,0.146378134499242
Tecno Spark 5 ,8885,4.3,29,2,32,16.76,13,0.119061116431516
Apple iPhone XR ,49900,4.6,54621,0,128,15.49,12,0.094609343454092
Kechaoda K66 Plus,0,0,0,0,0,0,0,-1
KXD M3+,799,0,0,0.032,0.032,4.5,1,0.162839894041299
Redmi Note 7 ,12384,4.5,177236,4,64,16,12,0.461546469304613
Micromax X419,950,4,123,0.032,0.032,4.5,0,0.034671119875909
Spinup A7 4G ,4967,2.9,49,2,16,13.97,8,0.125534728652961
Kechaoda A 31,0,0,0,0,0,0,0,-1
Google Pixel 3a ,30999,4.5,6221,4,64,14.22,12,0.154585941824243
Kechaoda A27,0,0,0,0,0,0,0,-1
OPPO Reno4 Pro ,34990,4.4,1481,8,128,16.51,48,0.030512589626908
Lenovo A7 ,7850,4.1,21,2,32,15.47,13,0.401020758366028
Karbonn KX23,1149,3.9,1104,0.032,0.032,6.1,0,0.333441852718416
Redmi Note 6 Pro ,14388,4.5,125416,6,64,15.9,12,0.376475902807162
Kechaoda A27,0,0,0,0,0,0,0,-1
Chilli C08,0,0,0,0,0,0,0,-1
Gfive A2 Combo of Two,1399,3.7,191,0.032,0.032,4.57,1,0.24188838376245
Itel it5607,1149,4,360,0.032,0.032,4.57,0,0.17502038251691
Tecno Spark 5 Pro ,10390,4.3,137,4,64,16.76,16,0.255297362010168
Samsung Galaxy M31s ,21190,4.3,259,6,128,16.51,64,0.403913448741641
itel It5071,1490,0,0,0.004,0.016,6.1,0,0.423861479227796
Itel Power 400,1324,4.1,1716,0.032,0.032,6.1,0,0.030391497819342
Intex TURBO SLIMZZ,1099,0,0,0.01,0.05,6.1,0,0.250179267093209
Karbonn K Phone 1,1399,3.9,166,0.032,0.032,6.1,1,0.057128733693814
Samsung Galaxy A70s ,25999,4.4,970,8,128,17.02,64,0.276610711838531
Samsung Galaxy S8 Plus ,53990,4.6,2003,4,64,15.75,12,0.28728861190894
Karbonn KX23,1099,3.7,162,0.02,0.02,6.1,0,0.482656169283728
Karbonn K Phone 1,1399,3.9,166,0.032,0.032,6.1,1,0.090516640738763
Samsung Galaxy M31s ,21190,4.3,259,6,128,16.51,64,0.433959692030152
Samsung Galaxy A21s ,17499,4.2,4876,6,128,16.51,48,0.401961753425718
Kechaoda A27,0,0,0,0,0,0,0,-1
itel It5071,1490,0,0,0.004,0.016,6.1,0,0.477819510780636
